;Time Interval;Average Packet Size;Average Packet Intervals;Inbound Packets;Outbound Packets;Total Packets;Persona
248;(124.0, 124.5);968.4685314685315;0.003291524475524473;69;74;143;1
249;(124.5, 125.0);957.0723684210526;0.0033106776315789464;70;82;152;1
250;(125.0, 125.5);964.203947368421;0.0032297302631578957;71;81;152;1
251;(125.5, 126.0);935.0340136054422;0.003397115646258503;61;86;147;1
252;(126.0, 126.5);955.1392405063291;0.0030735759493670874;75;83;158;1
253;(126.5, 127.0);924.7018633540373;0.003000248447204968;73;88;161;1
254;(127.0, 127.5);962.5342465753424;0.0033748219178082167;62;84;146;1
255;(127.5, 128.0);975.1543209876543;0.003102932098765429;78;84;162;1
256;(128.0, 128.5);945.3181818181819;0.003173214285714284;64;90;154;1
257;(128.5, 129.0);1003.5436241610738;0.0033053624161073804;65;84;149;1
258;(129.0, 129.5);1052.879746835443;0.0031371202531645555;76;82;158;1
259;(129.5, 130.0);1074.0223880597016;0.003736089552238804;52;82;134;1
260;(130.0, 130.5);1059.168;0.003938799999999998;47;78;125;1
261;(130.5, 131.0);1012.2592592592592;0.0035030666666666654;52;83;135;1
262;(131.0, 131.5);1049.0;0.003574437956204377;59;78;137;1
263;(131.5, 132.0);1087.2478632478633;0.004034290598290598;60;57;117;1
264;(132.0, 132.5);1146.211009174312;0.004558944954128439;59;50;109;1
265;(132.5, 133.0);1087.8015873015872;0.003924214285714285;75;51;126;1
266;(133.0, 133.5);1039.7142857142858;0.004043361344537814;66;53;119;1
267;(133.5, 134.0);1084.1339285714287;0.004361321428571427;61;51;112;1
268;(134.0, 134.5);1000.5615384615385;0.0037098692307692303;73;57;130;1
269;(134.5, 135.0);1056.3125;0.0042833660714285725;64;48;112;1
270;(135.0, 135.5);1070.142857142857;0.004001330357142857;67;45;112;1
271;(135.5, 136.0);1071.1929824561403;0.0041040614035087715;69;45;114;1
272;(136.0, 136.5);1070.3398058252428;0.004806533980582523;61;42;103;1
273;(136.5, 137.0);1003.5964912280701;0.0041097192982456135;70;44;114;1
274;(137.0, 137.5);901.6041666666666;0.0034388263888888897;100;44;144;1
275;(137.5, 138.0);870.7266666666667;0.0030925333333333333;107;43;150;1
276;(138.0, 138.5);874.2096774193549;0.003914274193548386;76;48;124;1
277;(138.5, 139.0);931.5940594059406;0.004745702970297028;58;43;101;1
278;(139.0, 139.5);938.6981132075472;0.004722226415094339;63;43;106;1
279;(139.5, 140.0);929.0648148148148;0.004460851851851852;66;42;108;1
280;(140.0, 140.5);882.2336448598131;0.004728532710280373;63;44;107;1
281;(140.5, 141.0);924.52;0.0047528399999999995;58;42;100;1
282;(141.0, 141.5);792.9207920792079;0.005035217821782176;66;35;101;1
283;(141.5, 142.0);761.53;0.00449564;63;37;100;1
284;(142.0, 142.5);969.4636363636364;0.004620063636363636;67;43;110;1
285;(142.5, 143.0);953.7129629629629;0.004588046296296295;64;44;108;1
286;(143.0, 143.5);935.5631067961165;0.0047998349514563115;60;43;103;1
287;(143.5, 144.0);927.4095238095238;0.004419990476190476;58;47;105;1
288;(144.0, 144.5);953.7596153846154;0.004771096153846153;66;38;104;1
289;(144.5, 145.0);932.8448275862069;0.004125879310344829;71;45;116;1
290;(145.0, 145.5);857.3235294117648;0.004574666666666666;61;41;102;1
291;(145.5, 146.0);837.2952380952381;0.004727390476190475;62;43;105;1
292;(146.0, 146.5);920.5242718446602;0.004607407766990291;62;41;103;1
293;(146.5, 147.0);852.7307692307693;0.004895490384615384;61;43;104;1
294;(147.0, 147.5);933.9207920792079;0.004847019801980198;60;41;101;1
295;(147.5, 148.0);952.7238095238096;0.004785619047619046;64;41;105;1
296;(148.0, 148.5);861.9893617021277;0.005045659574468083;59;35;94;1
297;(148.5, 149.0);875.7676767676768;0.004972565656565657;58;41;99;1
298;(149.0, 149.5);808.5904761904762;0.004364733333333333;62;43;105;1
299;(149.5, 150.0);932.9811320754717;0.004947103773584905;70;36;106;1
300;(150.0, 150.5);939.4636363636364;0.004406518181818181;60;50;110;1
301;(150.5, 151.0);870.0347826086957;0.0043273391304347805;65;50;115;1
302;(151.0, 151.5);859.4324324324324;0.004320027027027027;58;53;111;1
303;(151.5, 152.0);915.5428571428571;0.004550514285714286;57;48;105;1
304;(152.0, 152.5);887.2148760330579;0.004030264462809916;69;52;121;1
305;(152.5, 153.0);859.0330578512396;0.003959586776859503;67;54;121;1
306;(153.0, 153.5);865.4224137931035;0.004105353448275861;69;47;116;1
307;(153.5, 154.0);879.925925925926;0.004495185185185185;68;40;108;1
308;(154.0, 154.5);881.2293577981651;0.004188559633027522;64;45;109;1
309;(154.5, 155.0);823.6880733944954;0.004427651376146789;63;46;109;1
310;(155.0, 155.5);866.0083333333333;0.004442375;72;48;120;1
311;(155.5, 156.0);875.5535714285714;0.004430116071428571;68;44;112;1
312;(156.0, 156.5);884.377358490566;0.004533707547169809;56;50;106;1
313;(156.5, 157.0);825.4924242424242;0.0038321060606060623;79;53;132;1
314;(157.0, 157.5);891.7479674796748;0.003930829268292682;66;57;123;1
315;(157.5, 158.0);905.4324324324324;0.004323792792792792;62;49;111;1
316;(158.0, 158.5);881.8473282442748;0.0038606564885496166;73;58;131;1
317;(158.5, 159.0);890.0454545454545;0.004196890909090908;56;54;110;1
318;(159.0, 159.5);891.1526717557252;0.0036226412213740465;76;55;131;1
319;(159.5, 160.0);909.6065573770492;0.004051139344262293;65;57;122;1
320;(160.0, 160.5);904.6829268292682;0.0039076178861788624;64;59;123;1
321;(160.5, 161.0);888.3868613138686;0.0035179416058394152;79;58;137;1
322;(161.0, 161.5);925.6218487394958;0.004044882352941176;66;53;119;1
323;(161.5, 162.0);921.4580152671756;0.003807687022900763;69;62;131;1
324;(162.0, 162.5);922.0671641791045;0.0036383880597014914;58;76;134;1
325;(162.5, 163.0);907.2751677852349;0.0033209664429530187;73;76;149;1
326;(163.0, 163.5);989.674074074074;0.0036266740740740727;62;73;135;1
327;(163.5, 164.0);1005.6046511627907;0.0037820620155038756;55;74;129;1
328;(164.0, 164.5);939.0828025477707;0.002961280254777069;75;82;157;1
329;(164.5, 165.0);980.2164179104477;0.0037003582089552224;60;74;134;1
330;(165.0, 165.5);1025.2516556291391;0.0031319337748344366;77;74;151;1
331;(165.5, 166.0);987.0193548387097;0.0031823999999999984;81;74;155;1
332;(166.0, 166.5);991.0214285714286;0.0035683;71;69;140;1
333;(166.5, 167.0);997.1212121212121;0.0037728257575757557;60;72;132;1
334;(167.0, 167.5);981.4964028776978;0.003480330935251799;69;70;139;1
335;(167.5, 168.0);957.7417218543046;0.0032545430463576143;75;76;151;1
336;(168.0, 168.5);912.4031007751938;0.0038253100775193782;52;77;129;1
337;(168.5, 169.0);978.317880794702;0.003214066225165562;78;73;151;1
338;(169.0, 169.5);977.3257575757576;0.0037936969696969686;61;71;132;1
339;(169.5, 170.0);978.4492753623189;0.0035454420289855086;65;73;138;1
340;(170.0, 170.5);988.1111111111111;0.003477784722222221;71;73;144;1
341;(170.5, 171.0);991.24;0.0031981599999999994;83;67;150;1
342;(171.0, 171.5);965.463768115942;0.0035925652173913014;71;67;138;1
343;(171.5, 172.0);910.276119402985;0.003544134328358207;59;75;134;1
344;(172.0, 172.5);984.2816901408451;0.0035404647887323937;63;79;142;1
345;(172.5, 173.0);946.8904109589041;0.00321794520547945;63;83;146;1
346;(173.0, 173.5);944.2977099236641;0.0037452519083969434;47;84;131;1
347;(173.5, 174.0);944.1276595744681;0.00329396453900709;57;84;141;1
348;(174.0, 174.5);895.8290598290598;0.004078119658119658;58;59;117;1
349;(174.5, 175.0);911.2912621359224;0.004644252427184466;49;54;103;1
350;(175.0, 175.5);866.576;0.003874263999999998;67;58;125;1
351;(175.5, 176.0);880.4932432432432;0.003315851351351351;96;52;148;1
352;(176.0, 176.5);889.5620437956204;0.003640335766423357;82;55;137;1
353;(176.5, 177.0);891.7704918032787;0.003871254098360653;68;54;122;1
354;(177.0, 177.5);900.2627737226277;0.0036264671532846714;82;55;137;1
355;(177.5, 178.0);897.303448275862;0.003356855172413793;89;56;145;1
356;(178.0, 178.5);887.25;0.0037921212121212115;75;57;132;1
357;(178.5, 179.0);876.2692307692307;0.0034541846153846147;71;59;130;1
