,Time Interval,Average Packet Size,Standard Deviation Packet Size,Median Packet Size,Average Packet Intervals,Standard Deviation Packet Intervals,Median Packet Intervals,Inbound Packets,Outbound Packets,Total Packets,Cluster,Persona
472,"(236.0, 236.5)",1175.3909090909092,218.66505304045344,1222.0,0.004541636363636361,0.005243901147304575,0.002387,69,41,110,0,0
473,"(236.5, 237.0)",1068.484126984127,224.67504477807893,1155.0,0.003934984126984127,0.004776130815602315,0.0011485,66,60,126,1,0
474,"(237.0, 237.5)",917.5813953488373,290.1166709724949,1063.0,0.003907674418604653,0.00591816470860423,0.00065,75,54,129,1,0
475,"(237.5, 238.0)",944.6940298507463,284.18069089378895,1078.0,0.003420044776119402,0.005406679028597942,0.000436,71,63,134,1,0
476,"(238.0, 238.5)",995.5637583892616,260.0534072524661,1078.0,0.0032908724832214765,0.0043104179098962,0.000512,65,84,149,1,0
477,"(238.5, 239.0)",1005.88125,273.08047911540547,1078.0,0.0031333000000000003,0.004297439728943197,0.0004530000000000001,76,84,160,1,0
478,"(239.0, 239.5)",952.5897435897436,345.2479963604444,1078.0,0.003026891025641025,0.0042025745635552395,0.0004145000000000001,69,87,156,1,0
479,"(239.5, 240.0)",1015.8169934640524,259.8725506937183,1078.0,0.003283928104575163,0.0045696886815310344,0.000424,73,80,153,1,0
480,"(240.0, 240.5)",1016.8421052631579,259.0676892616669,1078.0,0.003289368421052629,0.0044332772947308745,0.000549,70,82,152,1,0
481,"(240.5, 241.0)",1042.8333333333333,247.66428841617625,1105.5,0.003339362318840581,0.004437964389915833,0.0005089999999999999,65,73,138,1,0
482,"(241.0, 241.5)",1016.3243243243244,224.57834159407662,1078.0,0.003320060810810809,0.004177607467527253,0.0006349999999999999,68,80,148,1,1
483,"(241.5, 242.0)",977.3741935483873,248.48813367333224,1078.0,0.003164425806451611,0.0042557471179332585,0.000504,71,84,155,1,1
484,"(242.0, 242.5)",1048.2481751824816,219.5042469447747,1078.0,0.0035989197080291955,0.004511198269239354,0.000552,65,72,137,1,1
485,"(242.5, 243.0)",996.8076923076924,235.97925319918843,1075.5,0.0031453397435897423,0.004188818565437297,0.0005059999999999999,77,79,156,1,1
486,"(243.0, 243.5)",979.1532846715328,246.24855599788472,1045.0,0.003555087591240876,0.004655261619100625,0.0006519999999999999,64,73,137,1,1
487,"(243.5, 244.0)",1043.9366197183099,163.1633308994236,1078.0,0.0033721408450704212,0.0044371157707457564,0.0005610000000000001,70,72,142,1,1
488,"(244.0, 244.5)",1024.3591549295777,199.16511349461618,1078.0,0.0035242464788732366,0.004367186419481683,0.0009345000000000001,69,73,142,1,1
489,"(244.5, 245.0)",1019.931506849315,180.80973644573402,1068.0,0.003427335616438357,0.004476869503967065,0.0005780000000000001,72,74,146,1,1
490,"(245.0, 245.5)",1011.717391304348,168.17357166417,1068.0,0.0036456521739130416,0.0047359457339503225,0.0005164999999999999,62,76,138,1,1
491,"(245.5, 246.0)",1028.9935483870968,157.69510680852838,1054.0,0.003107716129032257,0.004276525294467307,0.0006,81,74,155,1,1
492,"(246.0, 246.5)",1002.274647887324,188.8453209355128,1054.0,0.0035018661971830977,0.004487893088303325,0.0006184999999999999,66,76,142,1,1
493,"(246.5, 247.0)",984.1363636363636,269.5802127147763,1078.0,0.0032415909090909075,0.0041873333374129185,0.000628,74,80,154,1,1
494,"(247.0, 247.5)",995.6183206106873,213.62679384007225,1031.0,0.003789076335877861,0.004579588795141934,0.000755,57,74,131,1,1
495,"(247.5, 248.0)",998.6883116883116,210.2805011015911,1062.0,0.003146902597402596,0.004322788050891969,0.00044400000000000006,77,77,154,1,1
496,"(248.0, 248.5)",1043.23125,149.09590100516138,1066.5,0.0030168437499999987,0.004144332883698422,0.00042249999999999997,81,79,160,1,1
497,"(248.5, 249.0)",1037.9466666666667,174.16442075984688,1068.0,0.0032601666666666673,0.004237871728133868,0.000606,70,80,150,1,1
498,"(249.0, 249.5)",1042.476821192053,176.27825861166528,1078.0,0.0032493377483443693,0.0042745558317208695,0.000603,71,80,151,1,1
499,"(249.5, 250.0)",1050.5436241610741,183.9512818590497,1078.0,0.0033535570469798662,0.00444296692687192,0.0004730000000000001,70,79,149,1,1
500,"(250.0, 250.5)",1013.4113475177304,224.50447246330836,1078.0,0.003507375886524823,0.004626492964498839,0.0005679999999999999,60,81,141,1,1
501,"(250.5, 251.0)",1008.7862068965517,251.48459711522472,1078.0,0.003358255172413791,0.004526546859268893,0.000409,65,80,145,1,1
502,"(251.0, 251.5)",1041.0472972972973,185.46335921602767,1078.0,0.003404087837837837,0.00434463898272241,0.0007480000000000001,65,83,148,1,1
503,"(251.5, 252.0)",1047.7602739726026,178.22629183320316,1078.0,0.003331602739726025,0.0042031385867024335,0.0009289999999999999,68,78,146,1,1
504,"(252.0, 252.5)",1032.7571428571428,179.52947580390656,1078.0,0.0036018214285714265,0.0046264870419334145,0.000495,54,86,140,1,1
505,"(252.5, 253.0)",1065.2676056338028,180.171191858706,1083.0,0.0034683943661971807,0.0046132107539536464,0.000708,67,75,142,1,1
506,"(253.0, 253.5)",1059.8931297709923,194.8949323218657,1094.0,0.003809480916030532,0.004738205928490957,0.000496,54,77,131,1,1
507,"(253.5, 254.0)",1062.8721804511279,165.0551980001729,1078.0,0.0036814210526315773,0.00434236662398849,0.001049,57,76,133,1,1
508,"(254.0, 254.5)",984.6976744186046,293.55878363229823,1078.0,0.0038882635658914724,0.004640131946062018,0.001816,53,76,129,1,1
509,"(254.5, 255.0)",1028.186274509804,219.71406848209236,1061.5,0.004884696078431371,0.005042727550080502,0.0030930000000000003,50,52,102,0,1
510,"(255.0, 255.5)",1036.3490566037738,221.7387154997577,1074.5,0.004431292452830188,0.004752073534317577,0.0021035000000000003,55,51,106,1,1
511,"(255.5, 256.0)",961.1610169491527,255.9188229447348,1064.0,0.0041407711864406786,0.005308408872643731,0.000933,71,47,118,1,1
512,"(256.0, 256.5)",1003.2195121951221,251.42937399587345,1080.0,0.0038650162601626,0.00458265921259151,0.001501,74,49,123,1,1
513,"(256.5, 257.0)",1041.3307086614172,207.93428659448466,1091.0,0.0037545039370078734,0.0044604961605184965,0.000968,76,51,127,1,1
514,"(257.0, 257.5)",1034.9772727272727,228.75636113990547,1076.0,0.0037307424242424224,0.004546506625754961,0.0008699999999999999,80,52,132,1,1
515,"(257.5, 258.0)",975.1370967741935,292.24890089794286,1050.0,0.003934225806451613,0.004818614959452424,0.0010569999999999998,65,59,124,1,1
516,"(258.0, 258.5)",978.184,284.4580978269996,1065.0,0.003820439999999999,0.00504305458734761,0.000924,68,57,125,1,1
517,"(258.5, 259.0)",983.5151515151517,298.9426729439351,1068.0,0.004924575757575758,0.005913428901170812,0.002627,53,46,99,0,1
518,"(259.0, 259.5)",997.9215686274507,313.55343430403013,1058.5,0.004654362745098038,0.0046779306264972675,0.0027805,58,44,102,0,1
519,"(259.5, 260.0)",969.3980582524272,261.82647822952333,1005.0,0.004778310679611653,0.005360488505740774,0.0017579999999999998,63,40,103,0,1
520,"(260.0, 260.5)",865.2786885245903,260.9237012790807,782.5,0.004009188524590162,0.005040723613821889,0.0009765,84,38,122,1,1
521,"(260.5, 261.0)",869.9814814814815,247.25785781647124,806.0,0.004621388888888888,0.005812728035254876,0.0009765,71,37,108,1,1
522,"(261.0, 261.5)",880.8703703703702,274.13425637039484,753.5,0.004479759259259257,0.00539005306247245,0.001091,74,34,108,1,1
523,"(261.5, 262.0)",818.203125,295.54133860562234,768.5,0.003771468749999999,0.004823933259644453,0.0006575,83,45,128,1,1
524,"(262.0, 262.5)",858.6465517241379,270.0891400134841,780.0,0.004191077586206897,0.005051778201181049,0.0011415000000000002,81,35,116,1,1
525,"(262.5, 263.0)",839.0555555555555,264.06968895171013,927.0,0.004616037037037036,0.0055509273047429355,0.0011715,71,37,108,1,1
526,"(263.0, 263.5)",853.5206611570247,264.1785727865892,778.0,0.0040385454545454535,0.004919609306980926,0.000971,84,37,121,1,1
527,"(263.5, 264.0)",894.9230769230769,238.8428228293537,956.0,0.005417098901098901,0.006106434853778694,0.00178,55,36,91,0,1
528,"(264.0, 264.5)",852.1909090909091,248.7116341887073,832.0,0.004426318181818182,0.005017944258947574,0.0008945,64,46,110,1,1
529,"(264.5, 265.0)",830.8653846153846,227.96627487297832,802.0,0.004887125000000001,0.00544099556439776,0.0017545000000000002,58,46,104,1,1
530,"(265.0, 265.5)",810.4594594594595,243.95855772441743,750.0,0.004383180180180179,0.005333567569815296,0.001592,67,44,111,1,1
531,"(265.5, 266.0)",810.4336283185839,289.5339196791172,789.0,0.004416283185840707,0.004710625708114253,0.001761,64,49,113,1,1
532,"(266.0, 266.5)",858.4752475247525,202.69235772763642,878.0,0.0047093366336633646,0.00529279363715841,0.001135,58,43,101,1,1
533,"(266.5, 267.0)",843.3333333333335,218.627742145992,872.0,0.004248699999999999,0.0049192807112388255,0.0013735,69,51,120,1,1
534,"(267.0, 267.5)",828.7264150943396,209.32319658587974,834.5,0.0046740566037735826,0.005302116371394832,0.0014865,60,46,106,1,1
535,"(267.5, 268.0)",846.8317757009346,213.57697061482492,870.0,0.004688046728971961,0.005637818510239539,0.001037,61,46,107,1,1
536,"(268.0, 268.5)",829.3333333333335,201.00501795074504,821.0,0.004244333333333333,0.004752446856166796,0.001112,65,52,117,1,1
537,"(268.5, 269.0)",839.2095238095237,205.49413688239449,831.0,0.004748476190476191,0.00505021328204455,0.002686,59,46,105,1,1
538,"(269.0, 269.5)",793.8083333333333,292.60359210858286,840.5,0.003983958333333332,0.0046377690873407006,0.001104,67,53,120,1,1
539,"(269.5, 270.0)",839.7232142857142,219.17783350394996,812.5,0.004258366071428573,0.004879507339249879,0.001283,61,51,112,1,1
540,"(270.0, 270.5)",842.3162393162394,203.0006645807301,809.0,0.0039459658119658115,0.005116923459313836,0.000905,67,50,117,1,1
541,"(270.5, 271.0)",861.5,197.0210180498468,909.0,0.0047094230769230755,0.0052086808379565065,0.0015295,57,47,104,1,1
542,"(271.0, 271.5)",853.5818181818182,194.97374002520482,826.0,0.0043946818181818175,0.005318399879959442,0.0015305000000000002,64,46,110,1,1
543,"(271.5, 272.0)",877.3245614035087,201.1835113325812,903.0,0.004461307017543859,0.005107277240997447,0.0013205,65,49,114,1,1
544,"(272.0, 272.5)",863.2897196261682,228.69094285989348,884.0,0.004569214953271026,0.005170330477427146,0.001264,60,47,107,1,1
545,"(272.5, 273.0)",824.5752212389382,233.5086724188561,883.0,0.00408317699115044,0.004783406859413085,0.000903,62,51,113,1,1
546,"(273.0, 273.5)",771.7168141592922,283.50911641384613,811.0,0.004458469026548673,0.005475047506432506,0.001306,64,49,113,1,1
547,"(273.5, 274.0)",851.0555555555555,204.61332729606133,825.5,0.00461775,0.005067616155320325,0.0018655,64,44,108,1,1
548,"(274.0, 274.5)",793.8144329896907,219.98760996819541,793.0,0.004933144329896906,0.00531740224010922,0.002613,52,45,97,1,1
549,"(274.5, 275.0)",883.5982142857142,225.36414816039797,864.0,0.004277366071428571,0.005057123150416462,0.001437,72,40,112,1,1
550,"(275.0, 275.5)",787.2522522522522,202.02387205784584,732.0,0.004338414414414413,0.005758668380590128,0.000805,63,48,111,1,1
551,"(275.5, 276.0)",796.9411764705882,224.17575422592117,803.0,0.004686009803921569,0.005308625599190263,0.001783,59,43,102,1,1
552,"(276.0, 276.5)",857.7383177570093,226.4688464746497,803.0,0.004640850467289718,0.00541561444762767,0.001326,66,41,107,1,1
553,"(276.5, 277.0)",818.6890756302521,294.8597985684893,876.0,0.004000067226890755,0.004957172243977327,0.0007599999999999999,68,51,119,1,1
554,"(277.0, 277.5)",852.8272727272728,211.99289667392202,806.0,0.004625281818181818,0.005215569989401475,0.0016535,62,48,110,1,1
555,"(277.5, 278.0)",895.504761904762,231.55407757690392,841.0,0.004475895238095239,0.005273715310064786,0.001066,62,43,105,1,1
556,"(278.0, 278.5)",867.4363636363637,211.05890856758,833.5,0.004451563636363636,0.0049173405069255546,0.0016899999999999999,63,47,110,1,1
557,"(278.5, 279.0)",866.6168224299065,220.54378099819004,835.0,0.004560962616822429,0.0054083919085366906,0.001246,61,46,107,1,1
